,score,protected_class,label
0,0.53,0,1
1,0.1,0,0
2,0.805,0,1
3,0.28,0,1
4,0.715,0,1
5,0.49,0,1
6,0.475,0,1
7,0.405,0,1
8,0.675,0,1
9,0.18,0,1
10,0.735,0,1
11,0.5,0,1
12,0.86,0,1
13,0.87,0,1
14,0.7,0,1
15,0.18,0,0
16,0.405,0,1
17,0.235,0,0
18,0.545,0,1
19,0.73,0,1
20,0.695,0,1
21,0.77,0,1
22,0.59,0,1
23,0.835,0,1
24,0.675,0,1
25,0.36,0,1
26,0.875,0,1
27,0.96,0,1
28,0.01,0,0
29,0.675,0,1
30,0.165,0,1
31,0.24,0,1
32,0.98,0,1
33,0.855,0,1
34,0.86,0,1
35,0.555,0,1
36,0.59,0,1
37,0.135,0,0
38,0.65,0,1
39,0.375,0,1
40,0.51,0,1
41,0.645,0,1
42,0.485,0,0
43,0.03,0,0
44,0.94,0,1
45,0.81,0,1
46,0.695,0,1
47,0.875,0,1
48,0.435,0,1
49,0.555,0,1
50,0.295,0,0
51,0.92,0,1
52,0.365,0,1
53,0.855,0,1
54,0.785,0,1
55,0.235,0,0
56,0.035,0,0
57,0.29,0,1
58,0.95,0,1
59,0.46,0,1
60,0.24,0,0
61,0.42,0,1
62,0.63,0,1
63,0.875,0,1
64,0.035,0,0
65,0.01,0,0
66,0.77,0,1
67,0.155,0,0
68,0.62,0,1
69,0.235,0,1
70,0.185,0,1
71,0.44,0,1
72,0.095,0,1
73,0.125,0,1
74,0.385,1,0
75,0.28,0,0
76,0.275,0,0
77,0.33,0,1
78,0.58,0,1
79,0.565,0,0
80,0.94,0,1
81,0.13,0,0
82,0.85,0,1
83,0.79,0,1
84,0.885,0,1
85,0.29,0,0
86,0.48,1,0
87,0.735,0,1
88,0.98,0,1
89,0.865,0,1
90,0.285,0,0
91,0.945,0,1
92,0.525,0,0
93,0.19,0,0
94,0.075,0,0
95,0.935,0,1
96,0.245,0,0
97,0.25,0,0
98,0.92,0,1
99,0.78,0,1
100,0.62,1,1
101,0.255,0,0
102,0.335,0,0
103,0.905,0,1
104,0.975,0,1
105,0.25,0,0
106,0.875,0,1
107,0.235,0,0
108,0.43,0,1
109,0.795,0,1
110,0.89,0,1
111,0.93,0,1
112,0.005,0,0
113,0.175,0,0
114,0.63,0,1
115,0.03,0,0
116,0.825,0,1
117,0.575,0,1
118,0.44,0,0
119,0.17,0,0
120,0.705,0,1
121,0.815,0,1
122,0.785,0,1
123,0.15,0,0
124,0.01,0,0
125,0.165,0,0
126,0.485,0,1
127,0.33,0,1
128,0.12,0,0
129,0.41,0,1
130,0.76,0,1
131,0.41,0,1
132,0.31,0,1
133,0.19,0,0
134,0.135,0,0
135,0.64,0,0
136,0.42,0,1
137,0.37,0,0
138,0.4,0,1
139,0.365,0,1
140,0.315,0,1
141,0.06,0,0
142,0.425,0,1
143,0.97,0,1
144,0.675,0,1
145,0.345,0,1
146,0.8,0,1
147,0.37,1,1
148,0.245,0,0
149,0.97,0,1
150,0.09,0,0
151,0.81,0,1
152,0.83,0,1
153,0.325,0,1
154,0.48,0,1
155,0.395,0,1
156,0.705,0,1
157,0.945,0,1
158,0.48,0,1
159,0.58,0,1
160,0.625,0,1
161,0.62,0,1
162,0.97,0,1
163,0.675,0,0
164,0.94,0,1
165,0.19,0,0
166,0.45,1,0
167,0.31,0,1
168,0.315,0,1
169,0.81,0,1
170,0.625,0,1
171,0.085,1,0
172,0.945,0,1
173,0.115,0,0
174,0.61,0,1
175,0.69,0,1
176,0.715,1,1
177,0.335,0,1
178,0.04,0,0
179,0.135,0,0
180,0.465,0,0
181,0.995,0,1
182,0.17,0,0
183,0.27,0,1
184,0.29,0,1
185,0.65,0,1
186,0.04,0,0
187,0.515,1,1
188,0.2,0,0
189,0.495,0,1
190,0.485,0,1
191,0.685,0,1
192,0.845,0,1
193,0.71,0,1
194,0.545,0,1
195,0.535,0,1
196,0.235,0,0
197,0.035,0,0
198,0.175,0,0
199,0.265,0,0
200,0.885,0,1
201,0.73,0,1
202,0.085,0,0
203,0.075,0,0
204,0.075,0,1
205,0.745,0,1
206,0.81,0,1
207,0.245,0,1
208,0.86,0,1
209,0.055,0,0
210,0.77,0,1
211,0.785,0,1
212,0.06,0,0
213,0.27,0,1
214,0.945,1,1
215,0.38,0,1
216,0.32,0,1
217,0.07,0,0
218,0.455,0,1
219,0.8,0,1
220,0.445,0,1
221,0.47,0,1
